Tipe, EaRMS, EaANGLE, EbRMS, EbANGLE, EcRMS, EcANGLE, IaRMS, IaANGLE, IbRMS, IbANGLE, IcRMS, IcANGLE
SLGFa,0.015516012222,1.7394829411,10.494072208,-0.819988291821,11.1869731181,-1.87988961932,1.59093561374,1.72485130965,0.0445889043305,-0.829047865322,0.0474840165926,-2.93673432391
SLGFb,11.1869731181,2.30890058547,0.015516012222,-0.354912161294,10.4940722079,-2.91438339421,0.0474840165926,1.25205588088,1.59093561374,-0.369543792748,0.0445889043306,-2.92344296772
SLGFc,10.4940722079,1.27440681057,11.1869731181,0.214505483072,0.015516012222,-2.44930726369,0.0445889043305,1.26534723707,0.0474840165926,-0.842339221514,1.59093561374,-2.46393889514
DLGFab,0.124074835922,0.940822650161,0.116376758073,-2.18776809097,9.47217674014,-2.36115728649,12.4253969562,0.939548598228,11.6214539585,-2.18646814054,0.0460797744315,-2.93070894152
DLGFac,0.116788940461,-0.0976340880182,9.47217674015,-0.266762184099,0.124493366716,3.03126363201,11.6626117541,-0.0963450700187,0.0460797744314,-0.836313839123,12.4673163462,3.02999917934
DLGFbc,9.47217674015,1.82763291829,0.124709978271,-1.15264642187,0.117013343878,2.00193840526,0.0460797744314,1.25808126327,12.4889025072,-1.15391523513,11.6851323842,2.00323263026
DLFab,0.138896833056,0.420465014493,0.139152055213,-1.66889279648,0.139630660307,2.51579811509,13.8905347724,0.420425639398,13.9160566556,-1.66893193097,13.9639239336,2.51575897811
DLFac,3.2280605534,0.801522324471,3.10887870003,0.796285756996,6.33691753997,-2.34263936943,12.0510176202,0.935963844613,12.015901339,-2.20313148716,0.0462194624842,-2.9122140862
DLFbc,3.10857520637,2.89076694935,6.33691753997,-0.248244267034,3.22836266426,2.89583404009,12.068565416,-0.113839533554,0.0462194624842,-0.81781898381,12.1038342115,3.02528151765
TPF,6.33691753997,1.84615083536,3.22844474214,-1.29283343248,3.10849518691,-1.29815085572,0.0462194624842,1.27657611858,12.130579572,-1.15720482447,12.0954999799,1.986872279
